OBJECTID,MUNI_ID,MMSD_OWNER,MUNI_FEATURE_TYPE,RIM_ELEV,SIZE,STATUS,MUNI_OWNER,MMSD_FEATURE,YEAR_RECEIVED,NOTES,X_COORD,Y_COORD
246, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511094.874,435290.9207
247, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511134.815,435303.8554
248, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511227.363,435308.7589
249, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511276.077,435401.469
250, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2509795.7,435449.6937
251, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512289.898,436090.4191
252, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512266.194,436105.1858
253, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512242.379,436104.6464
254, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512222.417,436088.0746
255, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511999.776,435769.7885
256, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512102.409,435917.6635
257, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512017.091,435775.0956
258, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512054.793,435866.1033
259, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512096.416,435867.0977
260, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512143.079,435693.7815
261, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512099.692,435692.9996
262, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512057.741,435691.726
263, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2513065.838,436156.1706
264, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2513036.326,436117.8908
265, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512927.438,436046.4609
266, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512716.944,436110.5841
267, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512466.734,436175.2467
268, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512466.216,436142.9246
269, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512716.966,436149.52
270, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512371.825,436240.3273
271, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512414.834,436109.6966
272, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512264.434,436198.5751
273, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512273.702,436219.158
274, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512062.335,436107.6268
275, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512230.658,436206.2831
276, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512112.092,436107.6271
277, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512112.091,436195.5396
278, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512062.334,436195.2099
279, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512208.005,436218.3296
280, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511889.293,437119.9226
281, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511836.189,437087.2373
282, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511906.006,437071.8223
283, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511957.942,437048.4894
284, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511847.88,437038.3152
285, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511939.542,436775.7619
286, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511877.692,436790.4344
287, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511906.681,436814.7464
288, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511988.977,436784.7173
289, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512188.701,436463.9761
290, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512049.415,436491.0794
291, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512001.81,436482.5722
292, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511953.65,436083.1849
293, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511933.359,436103.9151
294, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511904.448,436098.8321
295, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511886.909,436065.5012
296, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512161.343,435279.1045
297, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512104.389,435518.622
298, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512061.067,435224.2342
299, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512060.181,435520.6778
300, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511430.215,436455.3518
